Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
VSR Tours and Travels,A/C Sleeper (2+1),00:14,06:00,05h 46m,649,13 Seats available,4.5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),00:40,05:00,04h 20m,400,14 Seats available,3.5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Bharathi Tours & Travels,A/C Sleeper (2+1),00:40,05:30,04h 50m,630,10 Seats available,3.5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Siri Tours and Travels,Non A/C Seater / Sleeper (2+1),00:40,06:30,05h 50m,450,10 Seats available,3.7,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Nani’s Sai Krishna Travels,NON A/C Hi-Tech Push Back (2+2),00:45,05:00,04h 15m,560,15 Seats available,4.1,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri Rama Travels,A/C Seater / Sleeper (2+1),01:30,06:45,05h 15m,555,9 Seats available,3.5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
MAHABAHUSRIKVRTRAVELS,Non A/C Seater / Sleeper (2+1),02:00,06:35,04h 35m,850,36 Seats available,3.2,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Mythri Tours And Travels,A/C Sleeper (2+1),02:00,06:30,04h 30m,699,4 Seats available,"4.8
4",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Mahadevv travels,Non A/C Seater / Sleeper (2+1),02:20,05:30,03h 10m,427,11 Seats available,3.5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Siri Tours and Travels,A/C Seater / Sleeper (2+1),02:29,07:29,05h 00m,500,7 Seats available,3.7,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Morning Star Travels,Volvo Multi Axle B9R A/C Sleeper (2+1),03:20,07:30,04h 10m,500,15 Seats available,3.8,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Siri Tours and Travels,A/C Seater / Sleeper (2+1),18:30,00:30,06h 00m,670,26 Seats available,"4.2
6",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),20:40,03:30,06h 50m,500,13 Seats available,"3.3
5",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Gupta Travels Galaxy,A/C Seater / Sleeper (2+2),21:00,03:15,06h 15m,665,42 Seats available,"3.8
5",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),21:15,03:00,05h 45m,510,24 Seats available,"4.9
11",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),21:20,03:50,06h 30m,560,18 Seats available,4.5,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Bharathi Tours & Travels,A/C Sleeper (2+1),21:20,03:30,06h 10m,750,20 Seats available,4.5,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),21:20,03:30,06h 10m,600,16 Seats available,"4.7
5",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Sri Rama Travels,A/C Seater / Sleeper (2+1),21:40,03:30,05h 50m,888,27 Seats available,3.5,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Sri Rama Travels,A/C Seater / Sleeper (2+1),21:40,03:30,05h 50m,888,21 Seats available,3.5,Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
